Species,Environment,SbstDiam,BodyMass,scaled_Diam,SbstOrient,sine_Orient,cos_Orient,sqrt_relSpeed,MeanLphsMS,MovClip,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
Alouatta palliata,La Suerte,4.68,6.3,2.533955614,-66.1,-0.914253955,0.405141587,1.01,0.585647,GOPR03546-63_1Clipped,-0.228324801,0.566369543,0.115059002,-3.39E-09,-7.39E-17,-0.052379932,0.70710677,-2.99E-09
Alouatta palliata,La Suerte,5.87,6.3,3.178273387,-63.8,-0.89725837,0.441505853,1.09,0.549805,GOPR04696-34_1Clipped,-0.228324801,0.566369543,0.115059002,-3.39E-09,-7.39E-17,-0.052379932,0.70710677,-2.99E-09
Alouatta palliata,La Suerte,6.16,6.3,3.335292004,-56.3,-0.831954122,0.554844427,1.22,0.5371445,GOPR27823-12.MP4_30Clipped,-0.228324801,0.566369543,0.115059002,-3.39E-09,-7.39E-17,-0.052379932,0.70710677,-2.99E-09
Alouatta palliata,La Suerte,6.16,6.3,3.335292004,-56.3,-0.831954122,0.554844427,1.23,0.3237335,GOPR27723-4.MP4_40Clipped,-0.228324801,0.566369543,0.115059002,-3.39E-09,-7.39E-17,-0.052379932,0.70710677,-2.99E-09
Alouatta palliata,La Suerte,10.54,6.3,5.706814566,-52.9,-0.797583929,0.603207988,0.83,0.568269,GOPR32743-47_1Clipped,-0.228324801,0.566369543,0.115059002,-3.39E-09,-7.39E-17,-0.052379932,0.70710677,-2.99E-09
Alouatta palliata,La Suerte,5.2,6.3,2.815506237,-47.8,-0.740804596,0.671720589,1.22,0.5371445,GOPR27793-11.MP4_425Clipped,-0.228324801,0.566369543,0.115059002,-3.39E-09,-7.39E-17,-0.052379932,0.70710677,-2.99E-09
Alouatta palliata,La Suerte,5.2,6.3,2.815506237,-47.8,-0.740804596,0.671720589,1.23,0.417847,GOPR27763-8.MP4_1390Clipped,-0.228324801,0.566369543,0.115059002,-3.39E-09,-7.39E-17,-0.052379932,0.70710677,-2.99E-09
Alouatta palliata,La Suerte,5.2,6.3,2.815506237,-47.8,-0.740804596,0.671720589,1.31,0.583622,GOPR27773-9.MP4_430Clipped,-0.228324801,0.566369543,0.115059002,-3.39E-09,-7.39E-17,-0.052379932,0.70710677,-2.99E-09
Alouatta palliata,La Suerte,15.5,6.3,8.392374362,-44.1,-0.695912797,0.718126298,1.57,0.612915,GOPR03326-41.MP4_30Clipped,-0.228324801,0.566369543,0.115059002,-3.39E-09,-7.39E-17,-0.052379932,0.70710677,-2.99E-09
Alouatta palliata,La Suerte,6.26,6.3,3.389436355,-37.9,-0.6142852,0.789084085,1.35,0.6587335,GOPR29543-9_1Clipped,-0.228324801,0.566369543,0.115059002,-3.39E-09,-7.39E-17,-0.052379932,0.70710677,-2.99E-09
